instnm,State abbreviation (HD2020),Percent admitted - total (DRVADM2020),Graduation rate  total cohort (DRVGR2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Core revenues  total dollars (GASB) (DRVF2020),Student service expenses as a percent of total core expenses (GASB) (DRVF2020),Student-to-faculty ratio (EF2020D),Full-time fall 2019 cohort (EF2020D),Percent of full-time first-time undergraduates awarded any financial aid (SFA1920),Percent of full-time first-time undergraduates awarded Pell grants (SFA1920),Published in-state tuition and fees 2020-21 (IC2020_AY),Published out-of-state tuition and fees 2020-21 (IC2020_AY),Admission test scores (ADM2020),ACT Composite 75th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),Total men (EF2020  All students total),Total women (EF2020  All students total),Total  enrollment (DRVEF2020)
Cleveland State University,OH,94,48,45,51,297061549,8,15,1943,92,47,11185,15952,1,25,590,580,6570,8677,15247
California University of Pennsylvania,PA,94,51,48,53,121722040,15,19,879,98,46,11108,15726,5,23,570,550,2756,4129,6885
Truman State University,MO,72,75,70,78,82218821,11,14,895,100,22,8299,15659,1,30,680,650,1857,2798,4655
University of Minnesota-Morris,MN,65,60,61,59,46262297,15,11,318,98,39,13578,15632,1,28,620,630,542,797,1339
CUNY Queens College,NY,53,53,44,62,355111976,7,17,2246,91,58,7538,15488,1,27,590,600,8449,11251,19700
CUNY John Jay College of Criminal Justice,NY,37,51,44,55,348745826,7,19,2022,95,68,7470,15420,1,25,580,580,6415,9351,15766
Marion Military Institute,AL,58,41,41,39,13284215,25,14,269,98,39,9418,15418,1,26,650,650,285,116,401
CUNY Bernard M Baruch College,NY,41,73,68,78,343992064,9,20,2261,91,61,7462,15412,1,30,650,710,10021,9719,19740
South Dakota School of Mines and Technology,SD,86,50,47,62,68194861,12,13,467,95,20,11020,15400,1,29,665,690,1867,608,2475
CUNY Brooklyn College,NY,50,54,48,61,325555819,9,17,1881,91,66,7440,15390,1,29,580,600,7233,10502,17735
Southeastern Oklahoma State University,OK,79,31,29,34,63910343,11,24,502,94,49,6750,15390,1,23,550,540,2409,3198,5607
CUNY Hunter College,NY,40,56,49,60,436971960,7,15,2526,94,61,7382,15332,1,31,650,690,7743,16309,24052
Northeastern State University,OK,99,36,32,38,107301234,11,17,717,95,56,6915,15315,1,24,565,560,2504,4845,7349
CUNY City College,NY,51,60,54,66,554811072,5,15,2054,96,70,7340,15290,1,31,610,650,6909,8318,15227
Northwestern Oklahoma State University,OK,70,26,23,29,27766154,15,15,342,97,53,8173,15286,1,22,560,530,726,1107,1833
Kutztown University of Pennsylvania,PA,93,52,48,55,147746534,12,19,1392,95,36,11156,15264,1,24,570,550,3250,4640,7890
Colorado State University Pueblo,CO,94,37,33,42,107938939,11,15,609,98,47,8591,15149,1,23,560,550,2268,3657,5925
Southern Illinois University-Carbondale,IL,92,48,45,51,626980950,9,11,928,97,33,15104,15104,5,27,590,590,5769,5597,11366
Edinboro University of Pennsylvania,PA,85,43,35,49,91952423,14,15,659,95,42,10544,15062,1,23,590,570,1454,2865,4319
University of Arkansas at Pine Bluff,AR,60,39,31,46,76472003,9,14,481,99,76,8248,14908,1,18,500,500,1107,1561,2668
Purdue University Northwest,IN,30,42,42,42,143953813,12,20,1207,82,42,7942,14734,5,25,580,570,3921,5442,9363
University of North Dakota,ND,87,61,58,64,453564498,8,17,1650,95,19,10276,14546,1,27,600,630,6994,6621,13615
Bluefield State College,WV,90,32,34,30,21079424,8,14,82,99,65,7680,14544,1,22,550,520,434,809,1243
University of the Virgin Islands,VI,100,30,28,31,97955200,5,12,322,89,63,5235,14496,5,18,530,490,537,1301,1838
University of North Georgia,GA,81,39,33,45,228090053,7,19,1870,93,31,4976,14481,5,25,600,580,8300,11493,19793
North Dakota State University-Main Campus,ND,94,62,60,65,380898186,11,19,2199,95,19,10168,14471,1,26,623,620,6530,6316,12846
Northwest Missouri State University,MO,80,54,48,58,103964277,15,19,1325,99,37,8500,14458,5,24,580,600,2848,4419,7267
Eastern Illinois University,IL,56,51,45,54,148189670,13,14,913,98,57,12136,14447,1,23,580,560,3403,5223,8626
Shippensburg University of Pennsylvania,PA,94,51,47,56,118553757,12,18,1292,95,41,13544,14272,1,23,580,570,2783,3347,6130
University of Nebraska at Kearney,NE,88,59,51,64,103264860,7,13,844,95,38,7962,14164,1,26,550,550,2249,3976,6225
West Virginia State University,WV,89,30,31,30,46189130,5,12,269,92,51,8437,14125,1,22,560,530,1526,2112,3638
Slippery Rock University of Pennsylvania,PA,74,69,67,71,158254596,12,21,1579,94,34,9984,14092,1,25,580,570,3624,5236,8860
Louisiana State University-Alexandria,LA,64,31,31,31,33713415,8,16,277,94,52,6669,14024,1,22,520,540,1058,2648,3706
Missouri Southern State University,MO,98,32,26,36,61918784,17,17,618,95,56,6964,13928,1,25,560,550,1924,3121,5045
University of New Orleans,LA,83,41,38,45,161344384,7,20,926,94,56,9072,13908,1,24,660,610,3935,4440,8375
Austin Peay State University,TN,91,48,40,55,177894758,15,16,819,99,58,8303,13847,1,24,618,570,3925,6347,10272
Eastern Michigan University,MI,75,47,43,50,286824159,8,15,2123,95,46,13810,13810,1,26,610,590,6243,10051,16294
University of Memphis,TN,85,52,46,56,481960956,17,16,2617,98,52,9912,13752,5,26,610,590,8668,13537,22205
Western Illinois University,IL,67,46,43,49,198321078,12,13,884,93,50,13314,13314,1,24,550,540,3275,4215,7490
Mansfield University of Pennsylvania,PA,96,51,46,54,34722538,18,17,342,100,56,10660,13226,5,22,570,560,643,1141,1784
Coppin State University,MD,40,30,20,35,76825634,9,12,428,92,72,6716,13113,1,22,490,480,525,1823,2348
Arkansas State University,AR,67,53,46,59,202556454,6,14,1333,98,43,7315,12883,1,26,590,630,4701,8405,13106
University of Minnesota-Rochester,MN,74,54,54,55,19252343,9,15,142,93,37,12850,12850,1,26,688,643,143,489,632
University of South Dakota,SD,91,60,56,62,224037699,11,15,1201,92,29,9332,12807,5,25,620,625,3438,6021,9459
University of Akron Wayne College,OH,89,11,6,15,17151665,5,32,214,88,39,6116,12789,1,23,590,540,635,1023,1658
Lake Superior State University,MI,69,51,45,57,39647191,8,17,280,97,41,12744,12744,1,26,590,560,861,1048,1909
South Dakota State University,SD,89,59,55,63,281914797,11,17,2016,95,23,9200,12675,5,26,630,670,5097,6308,11405
Kentucky State University,KY,84,30,26,33,65601631,16,14,386,97,73,8800,12650,1,20,530,520,950,1340,2290
SUNY College of Technology at Canton,NY,83,41,40,42,65335814,21,19,306,96,61,8689,12619,5,23,560,570,1348,1787,3135
Dakota State University,SD,84,49,46,55,54138012,13,18,399,94,30,9536,12606,5,26,610,580,2047,1139,3186
Valley City State University,ND,81,45,49,39,26959493,8,13,201,100,30,7942,12532,5,22,520,550,668,1008,1676
Ferris State University,MI,82,50,49,51,221847636,8,15,497,96,46,12376,12376,1,26,580,580,5124,6041,11165
Southern Illinois University-Edwardsville,IL,85,54,50,57,332476384,12,16,1645,93,34,12219,12219,1,27,610,610,5477,7383,12860
Northern State University,SD,79,45,44,46,60903589,19,18,312,98,34,8750,11821,5,25,580,560,1307,2124,3431
Midwestern State University,TX,71,44,38,49,109942378,14,17,859,97,52,9796,11746,1,22,560,540,2147,3713,5860
Black Hills State University,SD,97,39,32,44,45432662,18,16,436,92,34,8672,11742,5,24,615,588,1341,2267,3608
Chicago State University,IL,46,16,24,12,101620567,7,9,181,93,74,11204,11204,1,19,510,453,764,1880,2644
College of Coastal Georgia,GA,96,23,19,26,36586134,8,21,392,95,48,3933,10839,1,22,570,530,1053,2404,3457
Gordon State College,GA,79,16,13,19,34722079,8,22,222,96,69,3789,10695,1,21,550,520,1081,2150,3231
Abraham Baldwin Agricultural College,GA,76,29,29,30,52941596,8,19,533,96,46,3565,10471,1,21,570,530,1619,2371,3990
Mayville State University,ND,53,31,19,47,22211238,8,13,105,97,22,7381,10394,1,23,680,570,432,736,1168
Youngstown State University,OH,70,47,44,50,187732506,8,18,1921,97,44,9656,10016,5,24,600,590,5169,6666,11835
Dickinson State University,ND,99,36,32,42,22607481,19,13,193,93,32,8122,9942,1,22,532,550,588,853,1441
West Texas A & M University,TX,58,44,37,52,238123034,7,15,1216,84,43,8456,9903,1,23,560,570,4172,5864,10036
The University of Texas Permian Basin,TX,88,41,38,43,125259516,4,17,355,95,48,4837,9745,1,22,570,540,2210,3320,5530
Jackson State University,MS,90,44,36,49,167996633,13,14,787,99,77,8445,9445,1,20,520,530,2125,4796,6921
Henderson State University,AR,75,34,26,42,52483300,13,14,785,98,52,7392,9312,1,24,590,580,1296,1867,3163
Southwest Minnesota State University,MN,81,48,39,58,46323000,23,16,291,99,41,9058,9058,1,23,562,540,2795,4464,7259
Nicholls State University,LA,93,45,36,51,77881118,7,19,1169,98,42,7946,9039,1,24,580,590,2302,4467,6769
Eastern New Mexico University-Main Campus,NM,51,36,28,44,76715482,20,17,550,97,54,6648,8688,1,23,590,570,1897,3369,5266
Western Carolina University,NC,48,64,59,68,274764203,7,17,2084,85,37,4285,8285,1,25,620,600,5244,6999,12243
Delta State University,MS,100,39,30,46,62074701,9,11,280,96,45,8121,8121,1,23,505,620,1170,1829,2999
Minot State University,ND,77,55,47,59,50891022,17,11,390,93,27,7896,7896,1,24,540,530,1086,1834,2920
Mississippi University for Women,MS,99,46,36,48,52977221,11,12,170,99,65,7525,7525,1,24,610,690,532,2172,2704
University of North Carolina at Pembroke,NC,91,42,39,45,138640569,7,15,1103,92,61,3456,7456,1,21,550,540,2987,5275,8262
Alcorn State University,MS,38,45,40,48,84985065,9,16,512,100,92,7290,7290,1,25,500,460,1050,2180,3230
Elizabeth City State University,NC,75,43,43,43,68709605,15,16,381,96,73,3260,7260,1,19,500,500,807,1195,2002
United States Merchant Marine Academy,NY,24,82,82,86,115968064,26,13,251,28,11,1095,1095,1,29,670,690,829,216,1045
