instnm,State abbreviation (HD2020),Percent admitted - total (DRVADM2020),Graduation rate  total cohort (DRVGR2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Core revenues  total dollars (GASB) (DRVF2020),Student service expenses as a percent of total core expenses (GASB) (DRVF2020),Student-to-faculty ratio (EF2020D),Full-time fall 2019 cohort (EF2020D),Percent of full-time first-time undergraduates awarded any financial aid (SFA1920),Percent of full-time first-time undergraduates awarded Pell grants (SFA1920),Published in-state tuition and fees 2020-21 (IC2020_AY),Published out-of-state tuition and fees 2020-21 (IC2020_AY),Admission test scores (ADM2020),ACT Composite 75th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),Total men (EF2020  All students total),Total women (EF2020  All students total),Total  enrollment (DRVEF2020)
Francis Marion University,SC,75,44,39,46,81239408,10,14,706,99,63,11160,21544,5,21,570,540,1261,2887,4148
University of Illinois Springfield,IL,77,55,58,53,94210387,13,12,369,98,49,11911,21526,5,27,600,590,1970,2176,4146
University of Baltimore,MD,80,34,30,36,110135269,9,13,40,93,43,9096,21456,1,31,558,520,1634,2535,4169
Texas Southern University,TX,66,19,16,21,229665579,7,14,1370,97,81,9173,21443,1,20,520,520,2533,4482,7015
University of Alaska Fairbanks,AK,67,39,38,39,367917731,7,11,348,91,33,7176,21312,1,26,640,630,2705,4108,6813
Lander University,SC,57,49,41,53,53701389,17,17,943,100,45,11700,21300,1,22,570,540,1110,2403,3513
Adams State University,CO,100,32,26,40,54037330,36,13,368,97,58,9560,21296,1,22,550,540,1379,1785,3164
University of North Carolina Wilmington,NC,68,74,69,76,381774184,5,17,2330,72,23,7181,21246,1,27,660,650,6250,11665,17915
University of Northern Iowa,IA,79,64,59,67,228848913,6,17,1453,83,23,8938,21222,1,26,630,600,3668,5839,9507
University of South Carolina Aiken,SC,56,41,29,48,55388203,15,17,556,97,46,10760,21218,1,23,590,560,1352,2592,3944
University of Louisiana at Monroe,LA,78,57,57,57,127064722,9,18,1123,98,46,9070,21170,1,24,580,590,2873,6015,8888
Sul Ross State University,TX,81,30,24,41,50000937,9,11,271,94,54,8777,21047,5,21,527,520,856,1489,2345
Florida Polytechnic University,FL,58,50,50,50,54191321,7,16,273,100,33,4940,21005,1,32,680,690,1189,233,1422
Purdue University Fort Wayne,IN,83,40,38,41,125860351,12,13,1536,96,42,8730,20961,1,25,600,580,3832,4261,8093
Virginia State University,VA,96,46,42,49,129327182,6,12,1065,92,67,9154,20909,1,20,510,490,1557,2463,4020
University of North Texas,TX,84,57,48,65,753943174,13,26,5308,85,39,11090,20906,5,27,630,610,18534,22419,40953
Jacksonville State University,AL,64,46,39,52,146761000,16,21,1469,99,54,11120,20840,1,24,530,540,3584,5654,9238
University of Southern Indiana,IN,94,53,47,56,149413848,10,17,1548,96,37,9285,20822,1,25,590,580,3761,6442,10203
University of Hawaii at Hilo,HI,74,38,32,42,116898114,10,13,438,89,44,7838,20798,5,22,590,580,1118,2047,3165
University of North Florida,FL,80,66,62,70,294920538,7,19,2458,90,34,6389,20793,1,27,630,600,6964,9962,16926
Norfolk State University,VA,91,39,35,43,138744584,6,16,1197,76,76,9622,20790,1,20,520,500,1767,3690,5457
University of Houston-Clear Lake,TX,81,52,42,57,147437832,8,17,265,67,37,7504,20752,5,24,590,580,3298,5755,9053
Southern Utah University,UT,76,46,36,51,172867088,16,23,1669,96,29,6770,20586,1,27,620,600,5155,7427,12582
Indiana University-East,IN,67,45,35,51,46091818,14,14,417,93,53,7715,20574,5,24,570,550,1198,2236,3434
Indiana University-Northwest,IN,82,32,29,34,64667630,7,14,614,87,51,7715,20574,5,23,550,540,1034,2767,3801
Indiana University-South Bend,IN,87,38,33,41,77616063,7,12,776,93,48,7715,20574,5,23,580,560,1713,3229,4942
Indiana University-Southeast,IN,85,36,31,39,65187595,8,13,879,87,44,7715,20574,5,23,590,560,1781,2897,4678
The University of Texas at San Antonio,TX,84,46,42,50,641505750,7,27,4343,87,46,8566,20572,1,25,610,600,16699,18043,34742
University of Hawaii-West Oahu,HI,95,39,34,41,52996438,11,19,192,84,41,7584,20544,5,21,560,560,1033,2135,3168
University of North Carolina at Charlotte,NC,80,65,63,68,676393156,6,20,3626,74,31,7096,20530,1,27,640,640,15226,14920,30146
University of Toledo,OH,95,53,48,57,508107438,4,21,2845,97,34,11082,20442,5,26,600,610,8678,9641,18319
University of Alabama at Birmingham,AL,81,61,56,65,1324458159,3,20,2294,96,36,8568,20400,1,30,668,660,8243,14320,22563
Texas A & M University-Corpus Christi,TX,90,37,32,41,254610995,7,20,1744,71,37,9553,20343,1,24,600,580,4195,6625,10820
Louisiana State University-Shreveport,LA,83,37,39,36,74700823,6,28,331,95,48,7160,20314,1,25,590,590,4118,5837,9955
Texas A&M University-Texarkana,TX,96,38,32,44,52533824,11,14,207,90,49,7764,20273,1,23,560,550,776,1395,2171
Northern Kentucky University,KY,87,47,40,52,228496000,12,18,1817,99,35,10296,20256,1,26,590,600,5864,10347,16211
Massachusetts College of Liberal Arts,MA,88,53,48,55,43719497,16,10,285,99,51,11306,20251,5,21,580,600,445,757,1202
Morgan State University,MD,74,46,38,53,255587515,4,13,1364,97,56,7628,20251,1,20,530,540,2980,4654,7634
Lewis-Clark State College,ID,100,36,28,41,56541860,12,15,335,97,49,6982,20238,1,22,560,550,1341,2515,3856
North Carolina A & T State University,NC,57,52,45,58,331259853,3,19,2269,96,61,6657,20167,1,22,570,560,5151,7602,12753
East Stroudsburg University of Pennsylvania,PA,91,50,41,59,111613512,10,22,1123,87,45,11559,20097,5,23,560,550,2359,3476,5835
Eastern Kentucky University,KY,98,45,41,49,266956361,12,15,1905,99,47,9876,19948,1,25,590,580,5812,8653,14465
Kent State University at Kent,OH,84,65,61,67,507023952,7,21,4248,97,31,11009,19885,1,26,610,600,9989,16833,26822
Sonoma State University,CA,89,60,53,64,248208786,11,21,1531,73,37,7952,19832,1,23,590,560,2926,5092,8018
California State University-Chico,CA,90,65,60,69,409991144,10,25,2539,74,42,7864,19744,1,24,590,580,7496,9250,16746
